id,title,release_date,genres,vote_average,overview
83533,Avatar: Fuego y ceniza,2025-12-17,"Ciencia ficción, Aventura, Fantasía",7.267,"Jake Sully y Neytiri enfrentan una nueva amenaza en Pandora: los Ash People, una tribu Na'vi violenta y sedienta de poder, liderada por la implacable Varang. Tras la devastadora guerra contra la RDA y la pérdida de su hijo mayor, la familia de Jake deberá luchar por su supervivencia y el futuro de Pandora en un conflicto que llevará a los personajes a sus límites emocionales y físicos. Con nuevos y antiguos aliados, esta épica visual y emocional redefine el destino de un mundo al borde del abismo."
1301306,A Woman Scorned,2025-06-09,Acción,6.464,
1634858,Cuerno Azulado,2025-09-10,Acción,6.706,"Un ex narcotraficante busca reivindicarse como político, pero su pasado con el crimen organizado lo seguirá, ocasionando el secuestro de su hija durante plena campaña política. El político utilizara sus habilidades del pasado para rescatar a su hija del narcotráfico"
1310568,Asesinato en la Embajada,2025-11-14,"Misterio, Suspense, Acción",5.803,"1934. Miranda Green, detective privada, investiga un asesinato perpetrado en la embajada británica en El Cairo, donde se robó un documento de alto secreto, con el riesgo de poner en peligro el Palacio de Buckingham y la paz del mundo."
1054867,Una batalla tras otra,2025-09-23,"Suspense, Crimen, Comedia",7.389,"Un ex revolucionario, tras años apartado de la lucha, se ve obligado a volver a la acción para enfrentar a viejos enemigos en un ambiente cargado de tensión política, racismo y violencia militar... Adaptación modernizada de la novela 'Vineland', de Thomas Pynchon (1990), sobre los movimientos radicales de los años sesenta."
277218,A,1965-01-02,Animación,6.3,
77165,Y Dios le dijo a Caín,1970-02-05,"Western, Terror, Misterio",6.7,"El teniente Hamilton, del ejército nordista, queda en libertad después de cumplir diez años de trabajos forzados, acusado injustamente por Acombar, quien se apoderó no sólo de sus bienes, sino también de su prometida. Ahora regresa para vengarse. Coincidiendo en la diligencia con el hijo de Acombar, le envía el recado de su inminente llegada. Hamilton espera que caiga la noche y llegue un tornado para llevar a cabo su venganza. Acombar, enterado de sus planes, ordena a sus hombres perseguir y eliminar a Hamilton."
166680,Avalancha,1978-09-29,"Acción, Aventura, Drama",3.6,"Unos turistas luchan por sobrevivir después de una avalancha de nieve caída en sus pistas de esquí. Sus vacaciones, entonces, se convierten en un juego de supervivencia."
1368166,La asistenta,2025-12-18,"Misterio, Suspense",7.213,"Una joven (Sydney Sweeney), con un pasado complicado comienza a trabajar como asistenta en la lujosa casa de los Winchester. A medida que se adentra en la vida de la familia, descubrirá secretos oscuros que pondrán en peligro su seguridad, pero quizá ya sea demasiado tarde... Adaptación de la novela de Freida McFadden."
40817,Baciami ancora,2010-01-29,Comedia,5.8,"Carlo y Giulia se han separado y están a la espera del divorcio, aunque se vean con frecuencia a causa de su hija Sveva. Carlo se da cuenta de estar aún profundamente enamorado de su ex e intenta reconquistarla. Marco siente en cambio que se está distanciando de su esposa, que durante años ha deseado en vano un hijo. Adriano vuelve tras diez años de ausencia, de los cuales dos en una cárcel de Colombia por droga, y lo que más desea es volver a estar con el hijo que abandonó recién nacido. La madre del niño, Livia, ha empezado hace poco una relación con Paolo, el perdedor del grupo, devorado por una depresión que le separa de todos. Alberto, por el contrario, es el único que aún busca una vida fuera de los esquemas, al margen de la rutina."
1198994,SEND HELP (Enviad ayuda),2026-01-22,"Terror, Suspense, Comedia",7.0,"Después de que un accidente de avión deje varados en una isla remota a una competente empleada y a su insoportable jefe, ella deberá utilizar sus habilidades de supervivencia para mantenerlos a ambos con vida, a pesar de su difícil relación."
76600,Avatar: El sentido del agua,2022-12-14,"Acción, Aventura, Ciencia ficción",7.596,"Más de una década después de los acontecimientos de 'Avatar', los Na'vi Jake Sully, Neytiri y sus hijos viven en paz en los bosques de Pandora hasta que regresan los hombres del cielo. Entonces comienzan los problemas que persiguen sin descanso a la familia Sully, que decide hacer un gran sacrificio para mantener a su pueblo a salvo y seguir ellos con vida."
1234731,Anaconda,2025-12-24,"Aventura, Comedia, Terror",5.882,"Doug y Griff son muy buenos amigos desde que eran niños y siempre han soñado con hacer un remake de su película favorita de todos los tiempos: el «clásico cinematográfico» Anaconda. Cuando una crisis de mediana edad les anima a lanzarse por fin a la aventura, se adentran en la selva amazónica para empezar a rodar. Pero las cosas se ponen serias cuando aparece una anaconda gigante de verdad, convirtiendo su caótico y cómico plató de rodaje en una situación mortal."
1289936,Downton Abbey: El gran final,2025-09-10,"Drama, Romance",7.082,"Sigue a la familia Crawley y a su servidumbre mientras entran en la década de 1930. Cuando Mary se ve envuelta en un escándalo público y la familia enfrenta dificultades económicas, toda la casa debe lidiar con la amenaza de la deshonra social. Los Crawley deberán adaptarse al cambio, mientras el personal se prepara para un nuevo capítulo, con la próxima generación llevando a Downton Abbey hacia el futuro."
507244,Afterburn (Zona cero),2025-08-20,"Acción, Ciencia ficción, Comedia",6.392,Un grupo de cazadores de tesoros postapocalípticos busca reliquias antiguas en una Tierra que ha quedado casi medio destruida por una enorme erupción solar.
1220564,El agente secreto,2025-07-23,"Crimen, Drama, Suspense",7.351,"En Brasil, en 1977, Marcelo, un especialista en tecnología que huye de un pasado misterioso, regresa a Recife en busca de paz, pero se da cuenta de que la ciudad está lejos del refugio que busca."
411,"Las crónicas de Narnia: El león, la bruja y el armario",2005-12-07,"Aventura, Familia, Fantasía",7.136,"La historia narra las aventuras de cuatro hermanos: Lucy, Edmund, Susan y Peter, que durante la Segunda Guerra Mundial descubren el mundo de Narnia, al que acceden a través de un armario mágico mientras juegan al escondite en la casa de campo de un viejo profesor. En Narnia descubrirán un mundo increíble habitado por animales que hablan, duendes, faunos, centauros y gigantes al que la Bruja Blanca- Jadis- ha condenado al invierno eterno. Con la ayuda del león Aslan, el noble soberano, los niños lucharán para vencer el poder que la Bruja Blanca ejerce sobre Narnia en una espectacular batalla y conseguir así liberarle de la maldición del frío."
333465,A,2015-01-25,"Terror, Drama, Misterio, Suspense",5.5,
18874,Ghost In The Shell. Stand alone complex. Solid State Society,2007-09-01,"Animación, Acción, Suspense, Crimen, Ciencia ficción",7.5,"Es el año 2034, han pasado dos años desde que Motoko Kusanagi dejó la Sección 9. Ahora, Togusa, como nuevo líder del equipo, ha considerado necesario el incremento de personal. Esta ampliada nueva Sección 9 se enfrentará a una serie de complicados incidentes, detrás de los cuales se encuentra un ultra-hacker conocido con el nombre de El Marionetista. Durante la investigación que lleva a cabo Batou, este se cruzará de nuevo con Motoko, que dejará un mensaje: ""Manteneos alejados de la Solid State Society"". Película especial que cierra el argumento de la serie “Stand Alone Complex”, estando considerada en algunos sitios como la tercera temporada no oficial."
420817,Aladdín,2019-05-22,"Aventura, Fantasía, Romance, Familia",7.088,"Aladdin es un adorable pero desafortunado ladronzuelo enamorado de la hija del Sultán, la princesa Jasmine. Para intentar conquistarla, acepta el desafío de Jafar, que consiste en entrar a una cueva en mitad del desierto para dar con una lámpara mágica que le concederá todos sus deseos. Allí es donde Aladdín conocerá al Genio, dando inicio a una aventura como nunca antes había imaginado."
11431,Amor en juego,2005-04-06,"Romance, Comedia",6.2,"El profesor de instituto Ben Wrightman (Jimmy Fallon) es un buen partido. Es encantador, divertido y fantástico con los niños. Cuando conoce a Lindsey Meeks (Drew Barrymore), una ambiciosa asesora comercial cuyo espíritu refulge tanto como su belleza, la atracción que sienten el uno por el otro es inmediata. Por supuesto, tienen sus diferencias. Ella es una adicta al trabajo, él adora sus vacaciones de verano. Él vive y respira por los Red Sox; ella no distingue a Carl Yastrzemski de Johnny Damon. Pero el verdadero amor vence cualquier obstáculo… al menos hasta que empiezan los entrenamientos de primavera de los Red Sox. Cuando los adorados Boston Red Sox llevan a cabo una de las temporadas más increíbles de la historia del béisbol, Ben y Lindsey deben decidir si, como pareja, rompen o luchan por mantener vivo su amor con entradas extras."
348,"Alien, el octavo pasajero",1979-05-25,"Terror, Ciencia ficción",8.168,"De regreso a la Tierra, la nave de carga Nostromo interrumpe su viaje y despierta a sus siete tripulantes. El ordenador central, MADRE, ha detectado la misteriosa transmisión de una forma de vida desconocida, procedente de un planeta cercano aparentemente deshabitado. La nave se dirige entonces al extraño planeta para investigar el origen de la comunicación."
425,Ice Age: La edad de hielo,2002-03-14,"Animación, Comedia, Familia, Aventura",7.369,"Hace muchos, muchos años, tantos como 20.000, una pequeña ardirata de nombre Scrat quería esconder una bellota en el hielo. Pero lo que hace es provocar una semicatástrofe que provoca que todos los animales migren hacia el sur, hacia tierras más cálidas. Bueno, lo que se dice todos, todos, no. Porque hay uno que lleva la contraria: se trata del mamut Manfred, un auténtico lobo solitario vagabundo y soberbio que va hacia el norte sólo porque los demás están yendo hacia el sur."
673,Harry Potter y el prisionero de Azkaban,2004-05-31,"Aventura, Fantasía",8.008,"Harry está deseando que termine el verano para comenzar un nuevo curso en Hogwarts, y abandonar lo antes posible la casa de sus despreciables tíos, los Dursley. Lo que desconoce Harry es que va a tener que abandonar Privet Drive antes de tiempo e inesperadamente después de convertir a su tía Marge en un globo gigante. Un autobús noctámbulo, y encantado por supuesto, le llevará a la taberna El Caldero Chorreante, donde le espera nada menos que Cornelius Fudge, el Ministro de Magia."
461191,A,2017-09-13,"Drama, Música",6.183,
119623,El amor de Swann,1984-02-23,"Drama, Romance",5.5,"Adaptación de una novela de Marcel Proust. Charles Swann, un joven y rico judío que forma parte de los círculos aristocráticos parisinos de la Belle Epoque, vive una inolvidable historia de amor con la bella prostituta Odette de Crécy. Sus tempetuosas relaciones, llenas de celos, pasiones y dudas, las evoca años después Swann, cuando presiente su inminente muerte."
1199869,Ojo por Ojo,2025-07-03,Terror,5.439,"Tras ser cómplice de un acto de acoso, una joven se ve atormentada por una vengativa fuerza sobrenatural a través de sus sueños."
822119,Capitán América: Brave New World,2025-02-12,"Acción, Suspense, Ciencia ficción",5.979,"Tras reunirse con el recién elegido presidente de los EE. UU., Thaddeus Ross, Sam se encuentra en medio de un incidente internacional. Debe descubrir el motivo que se esconde tras un perverso complot global, antes de que su verdadero artífice enfurezca al mundo entero."
